timestamp,cylinder_id,weight_kg
2026-05-19T14:00:00Z,cyl_001,14.21
2026-05-19T14:00:00Z,cyl_002,14.23
2026-05-19T14:00:00Z,cyl_003,14.19
2026-05-19T14:00:00Z,cyl_004,14.17
2026-05-19T14:00:00Z,cyl_005,14.22
2026-05-19T15:00:00Z,cyl_001,14.18
2026-05-19T15:00:00Z,cyl_002,14.17
2026-05-19T15:00:00Z,cyl_003,14.22
2026-05-19T15:00:00Z,cyl_004,14.25
2026-05-19T15:00:00Z,cyl_005,14.16
2026-05-19T16:00:00Z,cyl_001,14.18
2026-05-19T16:00:00Z,cyl_002,14.21
2026-05-19T16:00:00Z,cyl_003,14.15
2026-05-19T16:00:00Z,cyl_004,14.18
2026-05-19T16:00:00Z,cyl_005,14.15
2026-05-19T17:00:00Z,cyl_001,14.2
2026-05-19T17:00:00Z,cyl_002,14.15
2026-05-19T17:00:00Z,cyl_003,14.17
2026-05-19T17:00:00Z,cyl_004,14.15
2026-05-19T17:00:00Z,cyl_005,14.09
2026-05-19T18:00:00Z,cyl_001,14.2
2026-05-19T18:00:00Z,cyl_002,14.15
2026-05-19T18:00:00Z,cyl_003,13.62
2026-05-19T18:00:00Z,cyl_004,14.16
2026-05-19T18:00:00Z,cyl_005,14.15
2026-05-19T19:00:00Z,cyl_001,14.16
2026-05-19T19:00:00Z,cyl_002,14.19
2026-05-19T19:00:00Z,cyl_003,13.09
2026-05-19T19:00:00Z,cyl_004,14.15
2026-05-19T19:00:00Z,cyl_005,14.16
2026-05-19T20:00:00Z,cyl_001,14.11
2026-05-19T20:00:00Z,cyl_002,14.12
2026-05-19T20:00:00Z,cyl_003,13.06
2026-05-19T20:00:00Z,cyl_004,14.17
2026-05-19T20:00:00Z,cyl_005,14.16
2026-05-19T21:00:00Z,cyl_001,14.09
2026-05-19T21:00:00Z,cyl_002,14.13
2026-05-19T21:00:00Z,cyl_003,13.01
2026-05-19T21:00:00Z,cyl_004,14.13
2026-05-19T21:00:00Z,cyl_005,14.11
2026-05-19T22:00:00Z,cyl_001,14.13
2026-05-19T22:00:00Z,cyl_002,14.13
2026-05-19T22:00:00Z,cyl_003,13.07
2026-05-19T22:00:00Z,cyl_004,14.13
2026-05-19T22:00:00Z,cyl_005,14.1
2026-05-19T23:00:00Z,cyl_001,14.07
2026-05-19T23:00:00Z,cyl_002,14.07
2026-05-19T23:00:00Z,cyl_003,13.1
2026-05-19T23:00:00Z,cyl_004,14.14
2026-05-19T23:00:00Z,cyl_005,14.1
2026-05-20T00:00:00Z,cyl_001,14.07
2026-05-20T00:00:00Z,cyl_002,14.11
2026-05-20T00:00:00Z,cyl_003,13.05
2026-05-20T00:00:00Z,cyl_004,14.14
2026-05-20T00:00:00Z,cyl_005,14.04
2026-05-20T01:00:00Z,cyl_001,14.06
2026-05-20T01:00:00Z,cyl_002,14.12
2026-05-20T01:00:00Z,cyl_003,12.99
2026-05-20T01:00:00Z,cyl_004,14.09
2026-05-20T01:00:00Z,cyl_005,14.06
2026-05-20T02:00:00Z,cyl_001,14.07
2026-05-20T02:00:00Z,cyl_002,14.07
2026-05-20T02:00:00Z,cyl_003,12.97
2026-05-20T02:00:00Z,cyl_004,14.05
